Aminoacid_15vs18;Chi2;p_value;Significance: 0.00034722222222222224
Ala;383.75575435203814;7.304517929588654e-83;Significant
Arg;454.29000397009673;5.832602896421044e-96;Significant
Asn;86.0103810651141;1.789935321868796e-20;Significant
Cys;36.32681145806659;1.6685262663018607e-09;Significant
Gln;74.77339294349501;5.2796468560938846e-18;Significant
Glu;100.60251117014664;1.1242511542626779e-23;Significant
Gly;166.28781246859273;8.054139238686197e-36;Significant
Ile;70.80687961993924;4.21193296092367e-16;Significant
Leu;109.2662186429547;5.855422039981747e-22;Significant
Lys;25.228255395892624;5.093054843924174e-07;Significant
Phe;113.70241711690397;1.5140841930578154e-26;Significant
Pro;212.10235647593842;1.0228326507052207e-45;Significant
Ser;590.2453640596162;2.590722379517786e-125;Significant
Stop;20.412824563072405;3.693273467777059e-05;Significant
Thr;250.4555725583727;5.215459766962164e-54;Significant
Val;54.796820891747956;7.586796701932351e-12;Significant
