Aminoacid_3vs6,Chi2,p_value,Significance: 0.00034722222222222224
Ala,220.76828549971214,1.3697405705828036e-47,Significant
Arg,242.55513849414348,2.17378083630639e-50,Significant
Asn,35.449463626041265,2.617544566329649e-09,Significant
Asp,79.33409012240185,5.244689174558911e-19,Significant
Glu,116.15227046150748,4.4016893873137784e-27,Significant
Gly,286.7062912327395,7.493513485069767e-62,Significant
His,15.448907957724966,8.47659082104115e-05,Significant
Ile,90.04444884610083,2.7996024832386004e-20,Significant
Leu,109.36278350022498,5.5866883258374e-22,Significant
Pro,127.33516529716863,2.0291108035955685e-27,Significant
Ser,510.9071753785985,3.530172488553741e-108,Significant
Stop,85.10451686980161,3.3097025853590293e-19,Significant
Thr,231.2216538658694,7.527943533166731e-50,Significant
Val,111.64548785842172,4.855008287174937e-24,Significant
