Aminoacid_15vs18,Chi2,p_value,Significance: 0.0005263157894736842
Ala,920.8621353606552,2.64141251015168e-199,Significant
Arg,1253.4071488196914,7.926691583177784e-269,Significant
Asn,27.069299769335718,1.962906416955001e-07,Significant
Gln,1736.4120635790782,0.0,Significant
Glu,64.89657892245955,7.893399739974588e-16,Significant
Gly,169.3927762173578,1.7208975522685283e-36,Significant
His,26.390831375880698,2.788610441262613e-07,Significant
Ile,831.6687715137808,2.543436387227557e-181,Significant
Leu,3746.1997938979885,0.0,Significant
Lys,234.0239737883006,7.903388156361441e-53,Significant
Phe,299.1298996796039,5.0972722075087163e-67,Significant
Pro,1237.8954533469807,4.395923978989011e-268,Significant
Ser,736.574100212815,6.058672721927378e-157,Significant
Stop,26.37284318184057,1.8759007931021083e-06,Significant
Thr,695.4270739767148,2.0588211474362467e-150,Significant
Tyr,76.84524220157897,1.8489311512870812e-18,Significant
Val,1403.335862228336,5.5631325122335506e-304,Significant
