Aminoacid_3vs24,Chi2,p_value,Significance: 0.0003289473684210526
Ala,4811.453895211282,0.0,Significant
Arg,7731.608571105818,0.0,Significant
Asn,2556.0531501830515,0.0,Significant
Asp,682.8290550745294,1.620708851047668e-150,Significant
Gln,302.0165878990274,1.1979249496349846e-67,Significant
Glu,4530.296280886051,0.0,Significant
Gly,1932.428903701894,0.0,Significant
His,541.5269931739973,8.774840398951524e-120,Significant
Ile,2679.94428115921,0.0,Significant
Leu,7914.739222926938,0.0,Significant
Lys,975.0951024122494,4.653301247958325e-214,Significant
Phe,795.5455734239732,5.0180733668325845e-175,Significant
Pro,589.9887368857476,1.491659707002013e-127,Significant
Ser,1504.0372796832382,0.0,Significant
Stop,449.7416644118134,2.1869478752589086e-98,Significant
Thr,1425.621793433331,8.11722258522478e-309,Significant
Tyr,960.3841436672658,7.336678392355455e-211,Significant
Val,5148.78143703985,0.0,Significant
