Aminoacid_15vs18,Chi2,p_value,Significance: 0.00037593984962406017
Ala,8511.206036509931,0.0,Significant
Arg,6847.93855461249,0.0,Significant
Asn,4417.487040619712,0.0,Significant
Asp,4409.194302383668,0.0,Significant
Cys,411.36434773286163,1.84988273667095e-91,Significant
Gln,3116.597473693651,0.0,Significant
Glu,20357.945198855945,0.0,Significant
Gly,10126.397887579727,0.0,Significant
His,1894.384842079277,0.0,Significant
Ile,16422.43624472389,0.0,Significant
Leu,31217.85151948069,0.0,Significant
Lys,16794.98881034166,0.0,Significant
Phe,8438.533207543866,0.0,Significant
Pro,5287.63943998292,0.0,Significant
Ser,9333.043612081543,0.0,Significant
Stop,745.1380226834899,1.567957353115936e-162,Significant
Thr,3319.4797198243205,0.0,Significant
Tyr,4859.617196669673,0.0,Significant
Val,8314.39111215635,0.0,Significant
