Aminoacid_3vs9,Chi2,p_value,Significance: 0.0004385964912280702
Ala,1012.0564454137382,4.3622053567449376e-219,Significant
Arg,806.9337685464856,3.65803434493359e-172,Significant
Asn,86.50603635438847,1.393114373152852e-20,Significant
Asp,253.99610157632563,3.493659140319731e-57,Significant
Cys,93.2202835094564,4.678616842733079e-22,Significant
Gln,96.78620791889209,7.723222649859497e-23,Significant
Glu,142.69760449892445,6.844610138538073e-33,Significant
Gly,165.49310926858885,1.1955254031911792e-35,Significant
His,20.10033879682138,7.348365751972639e-06,Significant
Ile,1182.757399870754,1.4705977695615176e-257,Significant
Leu,204.12498033636533,3.722663162317361e-42,Significant
Lys,19.002625725498028,1.3053869702207754e-05,Significant
Pro,129.02497097813708,8.773808924081342e-28,Significant
Ser,479.30712929059877,2.3347176315076984e-101,Significant
Stop,47.075669251554615,5.993055589414927e-11,Significant
Thr,687.1221748437038,1.301377380997437e-148,Significant
Tyr,25.074340659840374,5.516201864367558e-07,Significant
Val,431.50626430427553,3.311630341747803e-93,Significant
