Aminoacid_9vs12,Chi2,p_value,Significance: 0.00029239766081871346
Ala,2812.594402524173,0.0,Significant
Arg,10082.268913128257,0.0,Significant
Asn,176.51280909296236,2.7980531432429467e-40,Significant
Asp,38.43440438653589,5.662528560730706e-10,Significant
Cys,1551.2499212557636,0.0,Significant
Gln,1752.3528712508148,0.0,Significant
Glu,288.42435742217407,1.0961695718406462e-64,Significant
Gly,4380.017857105522,0.0,Significant
His,111.86188135563827,3.830900291221942e-26,Significant
Ile,208.37455022033396,5.649907467322129e-46,Significant
Leu,5399.873361427042,0.0,Significant
Lys,230.72942461029464,4.1330276786396694e-52,Significant
Phe,787.0181132520604,3.585797377261739e-173,Significant
Pro,8660.148861490581,0.0,Significant
Ser,1745.683640391316,0.0,Significant
Stop,513.0520930730586,3.9097908393882497e-112,Significant
Thr,4446.696432876962,0.0,Significant
Tyr,678.4491770797813,1.452702507849544e-149,Significant
Val,395.10971437145156,2.5375207248736438e-85,Significant
