Aminoacid_3vs6,Chi2,p_value,Significance: 0.00034722222222222224
Ala,2151.5060803800725,0.0,Significant
Arg,500.349835282997,6.710340203897038e-106,Significant
Asn,47.414189753144775,5.746519776534366e-12,Significant
Asp,46.419082573638015,9.548109378635643e-12,Significant
Cys,64.86898201381325,8.004724704516261e-16,Significant
Gln,163.51971932699595,1.9261167945520994e-37,Significant
Glu,165.29761311954462,7.875849272121431e-38,Significant
Gly,195.12266027127902,4.774803230113417e-42,Significant
His,111.23057174984741,5.267394602174192e-26,Significant
Ile,17.525855160043655,0.00015642598799249573,Significant
Leu,145.38085737234528,1.283684261633824e-29,Significant
Lys,185.6734206988969,2.7976013809257433e-42,Significant
Pro,588.2497723003099,3.5533853621032306e-127,Significant
Ser,202.91849257760927,6.745516327757616e-42,Significant
Stop,82.54307309550407,1.1912404106601604e-18,Significant
Thr,263.80237110877124,6.764869034443037e-57,Significant
Tyr,46.3053829919196,1.0118558498007005e-11,Significant
Val,124.67625545528614,7.588736235359845e-27,Significant
