Aminoacid_12vs15,Chi2,p_value,Significance: 0.00029239766081871346
Ala,3890.304138412669,0.0,Significant
Arg,12695.309084306717,0.0,Significant
Asn,139.90390619856225,2.7940056916499e-32,Significant
Asp,474.60562415418957,3.188317059645679e-105,Significant
Cys,605.7870942452432,9.22720052866727e-134,Significant
Gln,2142.4485999290764,0.0,Significant
Glu,779.6827320856512,1.4108205403485643e-171,Significant
Gly,567.0898982752942,1.3725338045983635e-122,Significant
His,291.26952866550675,2.629901957104245e-65,Significant
Ile,1137.860233692873,8.256379845399557e-248,Significant
Leu,1469.6611033299305,0.0,Significant
Lys,94.98584437250996,1.9175155707116102e-22,Significant
Phe,82.41145556733983,1.1051145087557618e-19,Significant
Pro,3111.028805551596,0.0,Significant
Ser,1162.4300666028007,4.031880401769774e-249,Significant
Stop,979.570046447277,1.945660647833286e-213,Significant
Thr,3622.820178800176,0.0,Significant
Tyr,621.2974913005474,3.904433172255015e-137,Significant
Val,427.46902791099444,2.481331626748695e-92,Significant
