Aminoacid_3vs21,Chi2,p_value,Significance: 0.0003289473684210526
Ala,10878.539271085105,0.0,Significant
Arg,17321.504179030733,0.0,Significant
Asn,3985.3772416355223,0.0,Significant
Asp,2301.5839225839472,0.0,Significant
Cys,613.1127911044323,2.3534957286716143e-135,Significant
Gln,7145.704229269531,0.0,Significant
Glu,13904.87157562501,0.0,Significant
Gly,4759.012943133736,0.0,Significant
His,2335.6211507892804,0.0,Significant
Ile,6374.495974599019,0.0,Significant
Leu,21486.05457491285,0.0,Significant
Lys,3214.657862587151,0.0,Significant
Phe,2320.94346783432,0.0,Significant
Pro,15688.163403326882,0.0,Significant
Ser,8602.782259858606,0.0,Significant
Stop,473.1982560815891,1.763210927669886e-103,Significant
Thr,18461.89880692646,0.0,Significant
Tyr,1207.5293789813677,1.4091566708003113e-264,Significant
Val,1628.2580665966416,0.0,Significant
