Aminoacid_9vs12,Chi2,p_value,Significance: 0.0004385964912280702
Ala,1487.2714918248926,0.0,Significant
Arg,518.9570635754272,6.455495350800603e-110,Significant
Asn,435.07717444267075,1.2760166794018793e-96,Significant
Asp,429.92175389405094,1.6901229722898614e-95,Significant
Cys,49.242562028529235,2.261893647596755e-12,Significant
Gln,56.14282582174191,6.739306173041781e-14,Significant
Gly,616.9515644565018,2.1302854762270877e-133,Significant
His,46.244822205019226,1.0436197891658803e-11,Significant
Ile,244.2143318628692,9.322483752509802e-54,Significant
Leu,2741.6486667943227,0.0,Significant
Phe,150.49517381324435,1.351224999639016e-34,Significant
Pro,647.4800556811341,5.125246946110699e-140,Significant
Ser,1293.324356243223,1.784725293750885e-277,Significant
Stop,118.88374393878989,1.530111255005024e-26,Significant
Thr,192.9497167617552,1.4073336497626656e-41,Significant
Tyr,357.97528630215453,7.770750246447282e-80,Significant
Val,304.2126968989886,1.2189939878458157e-65,Significant
