Aminoacid_12vs15,Chi2,p_value,Significance: 0.00037593984962406017
Ala,2130.3408842959743,0.0,Significant
Arg,1363.792640543764,9.640225302533636e-293,Significant
Asn,206.67127836767293,7.313505153314787e-47,Significant
Asp,396.68164349198685,2.9060734447340815e-88,Significant
Cys,222.0033128335541,3.306882568373759e-50,Significant
Gln,852.3374947404807,2.2562689903489419e-187,Significant
Glu,440.7661623915788,7.373948158704734e-98,Significant
Gly,168.33365006325897,2.9133671441160095e-36,Significant
His,3840.581096398063,0.0,Significant
Ile,317.00448362995314,1.4566359039004365e-69,Significant
Leu,1065.214187880969,4.5590551193092216e-228,Significant
Lys,389.0442748026844,1.3364122216112503e-86,Significant
Phe,519.8175733244095,4.636937507240612e-115,Significant
Pro,2331.598211090134,0.0,Significant
Ser,600.1965743636202,1.833993830971564e-127,Significant
Stop,1078.382672166455,6.794821448568846e-235,Significant
Thr,4743.105127117083,0.0,Significant
Tyr,199.31739372321314,2.9430192873306456e-45,Significant
Val,2152.9212439558687,0.0,Significant
