Aminoacid_3vs9,Chi2,p_value,Significance: 0.0004385964912280702
Ala,11489.517094651968,0.0,Significant
Arg,11364.93738068546,0.0,Significant
Asn,7246.428890955657,0.0,Significant
Asp,4572.377717647529,0.0,Significant
Cys,6118.366783252472,0.0,Significant
Gln,1614.2091721073757,0.0,Significant
Glu,6487.319694700703,0.0,Significant
Gly,7807.016485783199,0.0,Significant
His,4173.106729322117,0.0,Significant
Ile,3750.803744843629,0.0,Significant
Leu,15406.753817016552,0.0,Significant
Lys,2110.8042258600135,0.0,Significant
Phe,2004.1610798185934,0.0,Significant
Pro,2433.5651331367335,0.0,Significant
Ser,14260.453881198824,0.0,Significant
Stop,1467.0755170763612,0.0,Significant
Thr,3071.3772697735844,0.0,Significant
Tyr,2253.644135839436,0.0,Significant
Val,9643.143174162531,0.0,Significant
