Aminoacid_3vs6,Chi2,p_value,Significance: 0.00029239766081871346
Ala,10342.548501967127,0.0,Significant
Arg,31245.536261928224,0.0,Significant
Asn,10830.46517489256,0.0,Significant
Asp,300.67897283968705,2.3434009720117673e-67,Significant
Cys,4521.012228463316,0.0,Significant
Gln,17274.858890359457,0.0,Significant
Glu,583.1836239988206,7.613440386533944e-129,Significant
Gly,7832.405046862006,0.0,Significant
His,1334.7311412911572,3.2043035334363604e-292,Significant
Ile,13602.82160862884,0.0,Significant
Leu,13042.954949500521,0.0,Significant
Lys,62.041019552946906,3.3637689995182644e-15,Significant
Phe,1314.3465683912973,8.620338766411385e-288,Significant
Pro,12907.558007902171,0.0,Significant
Ser,8241.854855353995,0.0,Significant
Stop,8116.651151677936,0.0,Significant
Thr,24420.899057352224,0.0,Significant
Tyr,3970.864494311845,0.0,Significant
Val,9966.13841235734,0.0,Significant
