Aminoacid_21vs24,Chi2,p_value,Significance: 0.0004385964912280702
Arg,842.3547022686157,7.936108725051199e-180,Significant
Asn,151.5697750900142,7.867844468077221e-35,Significant
Asp,22.811444472178703,1.7869840960865362e-06,Significant
Cys,324.6708992250367,1.3915566695494707e-72,Significant
Glu,161.74832528984763,4.6954031328335055e-37,Significant
Gly,48.30684407108354,1.8322003111657297e-10,Significant
His,469.78881678835313,3.562244718314664e-104,Significant
Ile,262.6982921862756,9.032139759264253e-58,Significant
Leu,1157.9101718703575,3.841109913839115e-248,Significant
Lys,72.44312503862328,1.71915805933782e-17,Significant
Phe,103.20780500016518,3.017748871245216e-24,Significant
Pro,3532.520475107547,0.0,Significant
Ser,796.7365132031906,5.878811386358615e-170,Significant
Stop,144.84586437766632,3.5246840004248226e-32,Significant
Thr,71.17044864273485,2.3966346308226703e-15,Significant
Tyr,615.0618050895978,8.867545808641462e-136,Significant
Val,189.48499678791933,7.886009955814249e-41,Significant
