Aminoacid_3vs9,Chi2,p_value,Significance: 0.00034722222222222224
Ala,13463.63308530492,0.0,Significant
Arg,12073.042186725363,0.0,Significant
Asn,6724.012841403604,0.0,Significant
Asp,6093.976643130944,0.0,Significant
Cys,7837.372688526622,0.0,Significant
Gln,2098.4147081620617,0.0,Significant
Glu,7357.195792949999,0.0,Significant
Gly,12978.013321234626,0.0,Significant
His,3937.853420612442,0.0,Significant
Ile,6156.489251549521,0.0,Significant
Leu,13121.155798213536,0.0,Significant
Lys,2747.8647211193033,0.0,Significant
Phe,2016.097319675829,0.0,Significant
Pro,4114.378980041955,0.0,Significant
Ser,25020.02801540726,0.0,Significant
Stop,3505.3129835686213,0.0,Significant
Thr,2932.953082566693,0.0,Significant
Tyr,1514.4168196752098,0.0,Significant
Val,5265.45042957271,0.0,Significant
